## 1. 초등 6학년 추천도서 (수학, 사회, 과학)

### 수학
1학년 학교생활 준비 (이유미 외 / 서사원주니어)
새살이 솔솔 자연 반창고 딱지 (이수연 / 키즈엠)
앗, 조심해서 다녀야 해 (임다은 / 리틀씨앤톡)
배고픈 늑대가 사냥하는 방법 (뱀코 / 미래엔아이세움)
한문철의 어린이 교통 안전 1 (유경원 / 다산어린이)
1·2학년이 꼭 읽어야 할 교과서 안전한 생활 (유시나 / 효리원)
큰 배와 작은 배와 오렌지 (안나 맥그리거 / 키즈엠)
불이야! 불이야! (최옥임 / 키즈엠)
학교에 가면 (루카 토르톨리니 / 주니어 김영사)
비야, 그만 (이지연 / 소동)
아빠 자판기 (조경희 / 노란돼지)
바닷가로 떠나요! (앨런 델랑어 / 키즈엠)
고양이 히어로즈의 비빔밥 만들기 (보람 / 딸기책방)
달달토끼 (김고은 / 키즈엠)
미어캣의 모자 (임경섭 / 소동)
기린에게 스키를 가르칠 수 있을까? (비비안 멀비 / 키즈엠)

### 2학년 안전/통합
앗! 조심해! 나를 지키는 안전교과서 (장영훈 / 뭉치)
구석구석 사랑해 (안주 / 노란돼지)
마스크 벗어도 돼? : 바이러스의 비밀 (과학을 위한 여성 과학자 모임 / 그레이트북스)
하늘·땅·바다 어디서나 조심조심! 어린이를 위한 교통안전 (김은중 / 뭉치)
도시 영웅 돼지코 수사대 (런즈위안 / 리틀브레인)
노경실 선생님이 들려주는 가정 폭력 안전 (노경실 / 알라딘북스)
콜록콜록! 오늘의 황사 뉴스 (요리 / 뭉치)
오늘도 나쁨! 작아서 더 무서운 미세 먼지 (이화영 / 뭉치)
마법의 빨간 공 (마쓰오카 코우 / 우리학교)
봄은 바빠요 (손 테일러 외 / 키즈엠)
여우가 오리를 낳았어요 (순정평 / 리틀브레인)
여름 방학은 굉장해 (서보현 / 밝은미래)
엉뚱한 문방구 (간장 / 제제의 숲)
오! 감 (주미경 / 별천)
지구에서 가장 놀라운 건축이야기 (옌스 한세고드 / 지양사)
눈사람 사탕 (박종진 / 소원나무)

## 12. 초등 3~4학년 (국어, 수학, 사회, 과학)

### 3학년 국어
내 친구의 집 (우미옥 / 사계절)
바다 청소 로봇 씨박 (키키유 / 책과콩나무)
강치야 독도야 동해바다야 (주강현 / 현북스)
모든 것이 다 있다 (김진한 / 고래뱃속)
크릴 전쟁 (양지영 / 지성사)
고양이 자꾸 (한수언 / 마음이음)
무적의 더위 사냥꾼 (앙드레 마루아 / 미래아이)
일기 고쳐 주는 아이 (박선화 / 잇츠북 어린이)
꼴통과 불량 아저씨 (최은순 / 뜨인돌어린이)
미술관 추격 사건 (박그루 / 밝은미래)

### 3학년 수학
도형 마법사의 놀이공원 (한태희 / 한림출판사)
오일러와 피노키오는 도형 총 대회 1등을 했어 (이안 / 뭉치)
단위가 사라졌다 (신동경 / 그레이트북스)
키가 120킬로그램? (권혜정 / 열다)
퀴즈과학상식 : 황당 측정 수학 (권찬호 / 글송이)
가우스는 소수 대결로 마녀들을 물리쳤어 (김정 / 뭉치)
견우와 직녀가 분수 때문에 싸웠대 (이향안 / 뭉치)
열린, 분수와 소수로 악당 히들러를 쫓아내라 (장영훈 / 뭉치)

### 4학년 국어
고양이 뜰 (길지연 / 현북스)
바람의 소리를 들어라 (원유순 / 해와나무)
발표력 키우기 (운노 미호 / 루덴스미디어)
어린이를 위한 글쓰기 수업 (서예나 / 푸른날개)
순한 맛, 매운 맛 매생이 클럽 아이들 (이은경 / 한국경제신문)
하트 마스크 (김경구 / 가문비어린이)
70년 만에 돌아온 편지 (장성자 / 마루비)
나, 우주 그리고 산신령 (이혜령 / 잇츠북어린이)
마수오와 수상한 도둑 (황섭균 / 밝은미래)
친절한 엘리베이터 (김우정 / 파란자전거)
가족이 있습니다 (김유 / 뜨인돌)
나를 닮은 친구 A.I. (오서하 / 머스트비)
용어-소원을 들어주는 물고기 (김성범 / 파랑새)
햇빛 세탁소 (양은정 / 청개구리)

### 4학년 수학
가우스, 동화 나라의 사라진 0을 찾아라 (정가영 / 뭉치)
숫자왕 납치 사건 (옌스 라인랜더 / 담푸스)
페르마, 수리수리 규칙을 찾아라 (황근기 / 뭉치)
파스칼은 통계 정리로 나쁜 왕을 혼내줬어 (서지원 / 뭉치)

### 3학년 사회
초등학생을 위한 사회 교과 개념 잡기 1 (김다원 / 책과함께어린이)
우리나라 도시 지도책 (구혜경 외 / 토토북)
괴물들이 사는 궁궐 (무돌 / 노란돼지)
덜컹덜컹 버스 처음 타던 날 (양혜원 / 밝은미래)
열두 달 지하철 여행 (김성은 / 책읽는곰)
우유 한 컵이 우리 집에 오기까지 (율리아 뒤르 / 우리학교)
(맛? 건강?) 또 다른 문화 한류를 이끄는 한식 (이상미 / 뭉치)
우리는 가족 (마리아나 페레스 / 키다리)

### 3학년 과학
